epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,468.267,0.56617,0.50589,0.90822,0.7477,0.6553,0.74236,0.60075,0.6865,0.94553,0.99398,0.000539406,0.000539406,0.000539406
85,473.404,0.55931,0.51134,0.92827,0.74346,0.69231,0.75556,0.61837,0.65742,1.08357,0.98299,0.000538375,0.000538375,0.000538375
86,478.307,0.56289,0.49575,0.91387,0.71287,0.70502,0.75588,0.61724,0.74568,1.13793,1.00502,0.000537344,0.000537344,0.000537344
87,483.317,0.53632,0.48768,0.90447,0.77205,0.67344,0.7633,0.61335,0.76279,1.05537,1.02844,0.000536313,0.000536313,0.000536313
88,488.334,0.58925,0.52005,0.91633,0.73538,0.71071,0.76352,0.62599,0.71773,1.04336,1.0258,0.000535281,0.000535281,0.000535281
89,493.291,0.55627,0.5093,0.90505,0.74237,0.72265,0.78654,0.64721,0.67989,0.9469,0.97567,0.00053425,0.00053425,0.00053425
90,498.754,0.57871,0.5082,0.91362,0.78725,0.71588,0.79995,0.66153,0.64212,0.96151,0.95092,0.000533219,0.000533219,0.000533219
91,504.556,0.55727,0.4778,0.90077,0.77867,0.70481,0.7926,0.65418,0.65811,0.92209,0.96786,0.000532187,0.000532187,0.000532187
92,510.258,0.56556,0.49188,0.90689,0.68304,0.71665,0.76555,0.61722,0.7154,1.00323,0.98477,0.000531156,0.000531156,0.000531156
93,515.815,0.58559,0.50656,0.89583,0.74121,0.72115,0.77927,0.64137,0.66311,0.91827,0.97713,0.000530125,0.000530125,0.000530125
94,521.111,0.55506,0.48287,0.90652,0.78386,0.72214,0.79357,0.63777,0.6889,0.91255,1.0196,0.000529094,0.000529094,0.000529094
95,526.365,0.56298,0.48271,0.89527,0.79612,0.71203,0.80483,0.65966,0.6604,0.76394,0.99045,0.000528062,0.000528062,0.000528062
96,531.987,0.56683,0.48158,0.90781,0.75563,0.68349,0.76336,0.62668,0.68316,0.83957,1.00064,0.000527031,0.000527031,0.000527031
97,537.917,0.5511,0.47874,0.91068,0.72627,0.70034,0.73979,0.6089,0.67853,0.95336,0.99875,0.000526,0.000526,0.000526
98,543.37,0.54137,0.491,0.91627,0.75525,0.65793,0.74662,0.61208,0.67508,0.91295,0.97869,0.000524969,0.000524969,0.000524969
99,548.281,0.57753,0.50104,0.92225,0.73449,0.69326,0.76976,0.62277,0.70205,0.99278,0.99883,0.000523937,0.000523937,0.000523937
100,553.151,0.5628,0.48624,0.90324,0.77258,0.68528,0.77821,0.64204,0.71099,0.91796,1.03854,0.000522906,0.000522906,0.000522906
101,558.125,0.56294,0.45922,0.90113,0.76427,0.69942,0.78287,0.64241,0.69165,0.8202,1.00993,0.000521875,0.000521875,0.000521875
102,563.025,0.5437,0.47317,0.90735,0.7812,0.67135,0.76167,0.62868,0.6803,0.80255,0.99427,0.000520844,0.000520844,0.000520844
103,567.912,0.55335,0.49981,0.89533,0.7402,0.71644,0.78378,0.6359,0.68256,0.80225,0.99591,0.000519812,0.000519812,0.000519812
104,572.782,0.55338,0.5065,0.90574,0.77271,0.69464,0.77115,0.63624,0.64964,0.88638,0.98301,0.000518781,0.000518781,0.000518781
105,577.633,0.55938,0.46746,0.90904,0.75026,0.66822,0.75848,0.62028,0.65311,0.87086,0.98018,0.00051775,0.00051775,0.00051775
106,582.577,0.56422,0.49985,0.89884,0.75983,0.68688,0.78702,0.65136,0.65463,0.818,0.99859,0.000516719,0.000516719,0.000516719
107,587.642,0.54755,0.47367,0.89826,0.79407,0.68718,0.80112,0.65924,0.70708,0.77072,1.03772,0.000515688,0.000515688,0.000515688
108,592.797,0.53754,0.45432,0.88991,0.75735,0.66621,0.76743,0.63135,0.70244,0.95962,1.03372,0.000514656,0.000514656,0.000514656
109,597.685,0.55781,0.46101,0.90621,0.74174,0.70057,0.75285,0.61645,0.68454,1.08111,1.02107,0.000513625,0.000513625,0.000513625
110,602.826,0.54201,0.46409,0.90926,0.75501,0.6953,0.77363,0.64168,0.66352,0.9244,0.99454,0.000512594,0.000512594,0.000512594
111,607.722,0.50931,0.4358,0.88716,0.76955,0.66607,0.77026,0.63669,0.65956,0.99127,0.99732,0.000511562,0.000511562,0.000511562
112,612.656,0.53596,0.47587,0.89867,0.74223,0.70302,0.76169,0.63469,0.65154,0.97651,0.99237,0.000510531,0.000510531,0.000510531
113,617.563,0.5499,0.47558,0.89544,0.73975,0.68057,0.73486,0.60377,0.64035,0.87349,1.00339,0.0005095,0.0005095,0.0005095
114,622.976,0.53382,0.45402,0.89576,0.77244,0.66598,0.76417,0.62412,0.6683,0.86492,0.99137,0.000508469,0.000508469,0.000508469
115,628.416,0.54406,0.4619,0.90281,0.71319,0.69538,0.74164,0.60092,0.69923,0.98681,0.9743,0.000507438,0.000507438,0.000507438
116,634.053,0.52151,0.45751,0.8865,0.77791,0.70396,0.7716,0.63845,0.66081,0.83049,0.99972,0.000506406,0.000506406,0.000506406
117,639.18,0.52317,0.43145,0.89432,0.77271,0.68796,0.76437,0.62985,0.69798,0.9077,1.02741,0.000505375,0.000505375,0.000505375
118,644.266,0.53697,0.43775,0.89755,0.76245,0.71868,0.76522,0.62546,0.69241,0.90318,0.99922,0.000504344,0.000504344,0.000504344
119,649.098,0.52301,0.45,0.8936,0.7354,0.71871,0.75848,0.62251,0.72258,0.89118,1.04834,0.000503313,0.000503313,0.000503313
120,654.258,0.54442,0.44655,0.89474,0.73931,0.72538,0.77716,0.64569,0.66541,0.85426,1.02788,0.000502281,0.000502281,0.000502281
121,659.477,0.53068,0.44318,0.89248,0.72952,0.74674,0.76993,0.63897,0.66853,0.90088,1.01446,0.00050125,0.00050125,0.00050125
122,665.589,0.52945,0.43342,0.87746,0.75896,0.73276,0.79259,0.65778,0.68333,0.95719,1.00355,0.000500219,0.000500219,0.000500219
123,673.462,0.51857,0.44817,0.89055,0.78255,0.69848,0.77863,0.63831,0.69258,0.97121,0.9818,0.000499187,0.000499187,0.000499187
124,681.102,0.52293,0.41922,0.90312,0.77552,0.68643,0.75978,0.62061,0.71602,0.94052,1.02189,0.000498156,0.000498156,0.000498156
125,691.536,0.52756,0.4479,0.88999,0.7723,0.70819,0.76208,0.62839,0.66426,0.90853,0.99677,0.000497125,0.000497125,0.000497125
126,700.791,0.52613,0.44063,0.88986,0.7401,0.71517,0.76353,0.62962,0.65786,0.91038,0.99152,0.000496094,0.000496094,0.000496094
127,715.454,0.52727,0.44399,0.88451,0.78038,0.69834,0.77031,0.63777,0.62935,0.91305,0.99332,0.000495063,0.000495063,0.000495063
128,731.373,0.50193,0.42953,0.88906,0.72384,0.74558,0.75666,0.62521,0.68301,1.03511,1.03392,0.000494031,0.000494031,0.000494031
129,741.544,0.51374,0.44702,0.89533,0.76702,0.74335,0.76963,0.63005,0.74689,1.04746,1.03764,0.000493,0.000493,0.000493
130,747.46,0.49916,0.43589,0.88506,0.76046,0.73291,0.76733,0.62699,0.67983,0.98628,1.0004,0.000491969,0.000491969,0.000491969
131,753.405,0.51681,0.45135,0.89885,0.73254,0.72445,0.76106,0.62706,0.65044,0.91032,0.99034,0.000490937,0.000490937,0.000490937
132,760.019,0.52105,0.44879,0.89094,0.71972,0.74478,0.77287,0.62975,0.67801,0.86524,0.97372,0.000489906,0.000489906,0.000489906
133,766.404,0.5215,0.43636,0.91062,0.70525,0.75268,0.77919,0.63814,0.70046,0.90245,1.01902,0.000488875,0.000488875,0.000488875
134,773.321,0.52665,0.4323,0.88958,0.76241,0.70632,0.78495,0.64509,0.68452,0.91814,0.99307,0.000487844,0.000487844,0.000487844
135,779.325,0.52861,0.44755,0.88691,0.74541,0.6412,0.73158,0.61357,0.65145,1.07488,0.9752,0.000486812,0.000486812,0.000486812
136,785.567,0.50218,0.43567,0.88118,0.70502,0.71205,0.74173,0.6207,0.65793,1.01749,1.01012,0.000485781,0.000485781,0.000485781
137,791.478,0.50019,0.41076,0.88302,0.72738,0.71606,0.75792,0.63268,0.66458,1.01142,1.0248,0.00048475,0.00048475,0.00048475
138,797.525,0.53067,0.43249,0.8851,0.75478,0.70712,0.77387,0.64141,0.65054,1.03496,0.98574,0.000483719,0.000483719,0.000483719
139,803.38,0.50906,0.41208,0.88444,0.71771,0.73491,0.7742,0.64753,0.64158,0.96156,0.97993,0.000482687,0.000482687,0.000482687
140,809.489,0.51224,0.41229,0.88205,0.78015,0.69899,0.77687,0.65256,0.63442,0.86286,0.98551,0.000481656,0.000481656,0.000481656
141,815.454,0.49519,0.40651,0.88263,0.75124,0.73747,0.78148,0.65713,0.62237,0.81113,0.96134,0.000480625,0.000480625,0.000480625
142,821.603,0.50158,0.41183,0.87978,0.75528,0.72902,0.77551,0.64394,0.63226,0.89555,0.99966,0.000479594,0.000479594,0.000479594
143,827.623,0.50431,0.41823,0.88505,0.77666,0.72109,0.77872,0.64622,0.64234,0.8918,0.97629,0.000478562,0.000478562,0.000478562
144,833.632,0.5,0.42203,0.89385,0.76858,0.74146,0.78817,0.66199,0.68371,0.87601,1.01693,0.000477531,0.000477531,0.000477531
145,839.808,0.50002,0.41615,0.87609,0.77741,0.72939,0.77496,0.64507,0.67154,0.91923,1.03746,0.0004765,0.0004765,0.0004765
146,845.977,0.51368,0.43819,0.87976,0.76549,0.74692,0.77259,0.63813,0.6834,0.94918,1.01076,0.000475469,0.000475469,0.000475469
147,851.972,0.47801,0.4149,0.87814,0.80251,0.7065,0.7794,0.64373,0.6744,0.96953,1.01591,0.000474437,0.000474437,0.000474437
148,857.77,0.49282,0.4162,0.8865,0.73554,0.75419,0.76089,0.62486,0.71723,1.08575,1.0627,0.000473406,0.000473406,0.000473406
149,863.308,0.49806,0.4141,0.88392,0.8101,0.71827,0.78227,0.64874,0.66585,0.98249,1.03991,0.000472375,0.000472375,0.000472375
150,868.486,0.49771,0.39963,0.88148,0.74391,0.7327,0.77277,0.64729,0.62291,0.85903,1.00792,0.000471344,0.000471344,0.000471344
151,873.632,0.50591,0.42886,0.88385,0.76839,0.70966,0.76772,0.6372,0.62893,0.88692,0.99613,0.000470312,0.000470312,0.000470312
152,878.8,0.49608,0.40335,0.87769,0.7484,0.69674,0.75895,0.63748,0.66136,0.91111,1.00332,0.000469281,0.000469281,0.000469281
153,884.083,0.48857,0.40603,0.87325,0.73246,0.70957,0.76514,0.63928,0.6644,0.90493,0.99423,0.00046825,0.00046825,0.00046825
154,889.512,0.48159,0.41716,0.87874,0.77355,0.67568,0.76717,0.63739,0.66929,0.96599,1.00084,0.000467219,0.000467219,0.000467219
155,894.921,0.48035,0.40691,0.88655,0.79907,0.64044,0.77358,0.64007,0.67161,0.93819,0.99762,0.000466188,0.000466188,0.000466188
156,900.728,0.49258,0.41301,0.87743,0.73924,0.70386,0.76374,0.63975,0.6221,0.90851,0.95139,0.000465156,0.000465156,0.000465156
157,906.486,0.45822,0.38999,0.87913,0.78086,0.68836,0.77467,0.64114,0.63637,0.88134,0.97028,0.000464125,0.000464125,0.000464125
158,912.271,0.47494,0.38914,0.88269,0.78123,0.70825,0.77671,0.64683,0.63912,0.86288,0.98777,0.000463094,0.000463094,0.000463094
159,918.108,0.46223,0.38039,0.87638,0.73947,0.71668,0.77325,0.63941,0.65356,0.8254,1.01394,0.000462063,0.000462063,0.000462063
160,924.15,0.47263,0.38711,0.8692,0.79236,0.69139,0.75369,0.62399,0.64113,0.85097,1.0028,0.000461031,0.000461031,0.000461031
161,930.01,0.4809,0.40509,0.87966,0.77716,0.6924,0.76435,0.63891,0.64328,0.85097,1.0092,0.00046,0.00046,0.00046
162,935.796,0.48665,0.40225,0.87514,0.7194,0.73274,0.77836,0.65237,0.62912,0.83069,0.99846,0.000458969,0.000458969,0.000458969
163,941.058,0.47671,0.38347,0.86922,0.78542,0.70976,0.79735,0.6585,0.65391,0.82496,1.02531,0.000457938,0.000457938,0.000457938
164,946.283,0.48704,0.4,0.88183,0.80524,0.71155,0.78749,0.65345,0.66483,0.88456,1.04335,0.000456906,0.000456906,0.000456906
165,951.463,0.49058,0.38776,0.8766,0.74993,0.75627,0.79106,0.6559,0.66819,0.89376,1.01889,0.000455875,0.000455875,0.000455875
166,956.657,0.46405,0.38053,0.88,0.77854,0.72602,0.77966,0.65382,0.6536,0.83021,0.99734,0.000454844,0.000454844,0.000454844
167,961.905,0.47314,0.38454,0.87943,0.78799,0.72909,0.79184,0.66285,0.6565,0.90037,1.02233,0.000453813,0.000453813,0.000453813
168,967.336,0.49619,0.41008,0.88694,0.83383,0.71353,0.8062,0.66999,0.69244,0.93361,1.06262,0.000452781,0.000452781,0.000452781
169,972.757,0.47145,0.40063,0.87187,0.80843,0.73916,0.80218,0.66922,0.67953,0.89687,1.06048,0.00045175,0.00045175,0.00045175
170,978.257,0.4973,0.40811,0.88489,0.78108,0.71278,0.76537,0.64391,0.66676,0.87565,1.05334,0.000450719,0.000450719,0.000450719
171,983.781,0.47058,0.37747,0.86944,0.78339,0.70781,0.76484,0.6462,0.65175,0.85389,1.01458,0.000449688,0.000449688,0.000449688
172,989.518,0.47619,0.38378,0.88359,0.75884,0.69307,0.75502,0.63435,0.66146,0.93406,1.00669,0.000448656,0.000448656,0.000448656
173,994.807,0.47154,0.39423,0.87045,0.75201,0.65123,0.74855,0.62572,0.64409,0.89983,0.9977,0.000447625,0.000447625,0.000447625
174,999.949,0.48309,0.38868,0.8779,0.76246,0.65531,0.74164,0.61258,0.6992,0.94976,1.02498,0.000446594,0.000446594,0.000446594
175,1005.21,0.46646,0.37545,0.87024,0.73418,0.72289,0.75746,0.63023,0.65743,0.84094,1.00254,0.000445562,0.000445562,0.000445562
176,1010.58,0.47613,0.38784,0.8851,0.74579,0.7477,0.77343,0.64395,0.63754,0.89727,0.98881,0.000444531,0.000444531,0.000444531
177,1015.76,0.45649,0.38397,0.87113,0.76792,0.72688,0.7856,0.65897,0.63126,0.82226,0.98157,0.0004435,0.0004435,0.0004435
178,1021.06,0.47368,0.40006,0.8774,0.78032,0.71912,0.79455,0.66902,0.6269,0.82004,0.97225,0.000442469,0.000442469,0.000442469
179,1026.29,0.46315,0.37579,0.87283,0.73776,0.76729,0.79477,0.65989,0.6374,0.82363,0.99906,0.000441438,0.000441438,0.000441438
180,1031.64,0.46767,0.37844,0.88193,0.75448,0.76402,0.80109,0.66115,0.65038,0.75504,1.01698,0.000440406,0.000440406,0.000440406
181,1036.96,0.44862,0.36145,0.86723,0.77473,0.72049,0.79496,0.66015,0.65387,0.79048,1.02751,0.000439375,0.000439375,0.000439375
182,1042.17,0.46971,0.39252,0.88343,0.75999,0.75467,0.7848,0.65083,0.67052,0.8539,1.03051,0.000438344,0.000438344,0.000438344
183,1047.48,0.47656,0.40013,0.88729,0.76188,0.73706,0.78425,0.65398,0.65085,0.85419,1.01703,0.000437312,0.000437312,0.000437312
184,1053.75,0.45201,0.37921,0.85794,0.76715,0.72706,0.77979,0.64296,0.65267,0.80586,1.01294,0.000436281,0.000436281,0.000436281
