epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,792.723,0.61186,0.55231,0.96147,0.72825,0.7709,0.80764,0.6679,0.65111,0.75073,1.06855,0.000553844,0.000553844,0.000553844
71,804.04,0.57687,0.50354,0.93737,0.75373,0.67283,0.76766,0.63478,0.6519,0.82298,1.06339,0.000552813,0.000552813,0.000552813
72,816.567,0.58077,0.52241,0.94293,0.68337,0.72184,0.76739,0.64829,0.61564,0.93275,1.01185,0.000551781,0.000551781,0.000551781
73,827.239,0.57035,0.49465,0.9368,0.67252,0.69936,0.76092,0.62941,0.68642,0.91024,1.0549,0.00055075,0.00055075,0.00055075
74,838.528,0.56248,0.48784,0.93811,0.81329,0.72385,0.82058,0.6807,0.67822,0.77047,1.04962,0.000549719,0.000549719,0.000549719
75,850.038,0.57806,0.51706,0.93846,0.79952,0.70178,0.80567,0.65999,0.64184,0.7871,1.039,0.000548688,0.000548688,0.000548688
76,861.535,0.57344,0.52083,0.95065,0.81565,0.7476,0.83513,0.6877,0.64966,0.75012,1.05149,0.000547656,0.000547656,0.000547656
77,872.202,0.56961,0.51279,0.94098,0.78698,0.78264,0.85218,0.70558,0.66028,0.64382,1.04745,0.000546625,0.000546625,0.000546625
78,883.494,0.58902,0.5007,0.95254,0.85088,0.7143,0.83051,0.68794,0.66021,0.65973,1.04129,0.000545594,0.000545594,0.000545594
79,894.301,0.57422,0.48738,0.93487,0.79931,0.68571,0.78908,0.66022,0.64903,0.79059,1.02065,0.000544563,0.000544563,0.000544563
80,905.427,0.56507,0.49502,0.93868,0.84357,0.71389,0.83017,0.68571,0.66188,0.64712,1.0325,0.000543531,0.000543531,0.000543531
81,916.524,0.54734,0.4684,0.92691,0.72523,0.74432,0.80114,0.6664,0.62825,0.69609,1.02716,0.0005425,0.0005425,0.0005425
82,928.329,0.57005,0.52519,0.95532,0.74928,0.76157,0.80506,0.66211,0.67999,0.71053,1.0253,0.000541469,0.000541469,0.000541469
83,938.419,0.60538,0.53278,0.96263,0.8092,0.70077,0.79839,0.66093,0.72641,0.8735,1.09182,0.000540438,0.000540438,0.000540438
84,950.577,0.54735,0.48845,0.92794,0.73303,0.7497,0.80815,0.66376,0.67392,0.8373,1.07605,0.000539406,0.000539406,0.000539406
85,961.078,0.55415,0.48528,0.94763,0.70912,0.75838,0.80187,0.66422,0.68407,0.83496,1.09828,0.000538375,0.000538375,0.000538375
86,971.906,0.54562,0.46251,0.9372,0.70939,0.75357,0.79461,0.6592,0.671,0.82173,1.08695,0.000537344,0.000537344,0.000537344
87,982.549,0.5356,0.48385,0.93277,0.77564,0.66356,0.77933,0.64517,0.66804,0.81877,1.08973,0.000536313,0.000536313,0.000536313
88,993.62,0.57122,0.49256,0.93784,0.74517,0.65175,0.74974,0.62546,0.65175,0.83404,1.06584,0.000535281,0.000535281,0.000535281
89,1004.36,0.54779,0.48659,0.93209,0.75287,0.70957,0.7989,0.66007,0.67705,0.75592,1.06421,0.00053425,0.00053425,0.00053425
